ab  a p
abend  a b ex n t
abends  a b ex n ts
aber  a b er
abgeben  a p g eh b ex n
abgeschlossen  a p g ex sh l o s ex n
abgesehen  a p g ex z eh ex n
abhängig  a p h e ng i ch
abholen  a p h oh l ex n
abnehmen  a p n eh m ex n
abschied  a p sh ih t
absolut  a p z oh l uh t
absolute  a p s oh l uh t ex
ach  a xh
acht  a xh t
achten  a xh t ex n
ah  a q
äh  e q
aha  a q h a
ähm  e m
ähnlich  eh n l i ch
ähnliche  eh n l i ch ex
ähnliches  eh n l i ch ex s
aktie  a k ts j e
aktiv  a k t ih f
aktuell  a k t uh q e l
aktuelle  a k t uh q e l ex
aktuellen  a k t uh e l ex n
akzeptieren  a k ts e p t ih er n
akzeptiert  a k ts ex p t ih er t
al  a l
all  a l
alle  a l ex
allein  a l ei n
alleine  a l ei n ex
allem  a l ex m
allen  a l ex n
aller  a l er
allerdings  a l er d i ng s
alles  a l ex s
allgemein  a l g ex m ei n
allgemeine  a l g ex m ei n ex
allgemeinen  a l g ex m ei n ex n
allzu  a l ts uh
als  a l s
also  a l z oh
alt  a l t
alte  a l t ex
alten  a l t ex n
alter  a l t er
älter  e l t er
ältere  e l t ex r ex
älteren  e l t ex r ex n
alternative  a l t er n a t i v ex
alternativen  a l t er n a t ih v ex n
altes  a l t ex s
am  a m
amerikanische  a m e r ih k a n i sh ex
amerikanischen  a m eh r ih k a n i sh ex n
an  a n
analyse  a q n a l ueh z ex
anbieten  a n b ih t ex n
andere  a n d ex r ex
anderem  a n d ex r ex m
anderen  a n d ex r ex n
anderer  a n d ex r er
andererseits  a n d ex r er z ei ts
anderes  a n d ex r ex s
andern  a n d er n
ändern  e n d er n
anders  a n d er s
ändert  e n d er t
andre  a n d r ex
anfangen  a n f a ng ex n
anfangs  a n f a ng s
angaben  a n g a b ex n
angeblich  a n g eh p l i ch
angeboten  a n g ex b oh t ex n
angebracht  a n g ex b r a xh t
angefangen  a n g ex f a ng ex n
angeht  a n g eh t
angekommen  a n g ex k o m ex n
angekündigt  a n g ex k ue n d i ch t
angelegt  a n g ex l eh k t
angenehm  a n g ex n eh m
angenommen  a n g ex n o m ex n
angerufen  a n g ex r uh f ex n
angesagt  a n g ex z a k t
angeschaut  a n g ex sh au t
angesehen  a n g ex z eh ex n
angesichts  a n g ex z i ch ts
angesprochen  a n g ex sh p r o xh ex n
angetan  a n g ex t a n
angezogen  a n g ex ts oh g ex n
angriff  a n g r i f
angst  a ng s t
anhand  a n h a n t
anlage  a n l a g ex
anmeldung  a n m e l d u ng
annehmen  a n n eh m ex n
anrufen  a n r uh f ex n
ans  a n s
anschauen  a n sh au ex n
anscheinend  a n sh ei n ex n t
anschließend  a n sh l ih s ex n t
ansehen  a n z eh ex n
ansonsten  a n z o n s t ex n
anstatt  a n sh t a t
anstrengend  a n sh t r e ng ex n t
antrag  a n t r a k
antwort  a n t v o er t
antworten  a n t v o er t ex n
antwortete  a n t v o er t ex t ex
anzeigen  a n ts ei g ex n
anziehen  a n ts ih n
anzusehen  a n ts uh z eh ex n
april  a p r i l
arabischen  a r a b i sh ex n
arbeite  a er b ei t ex
arbeiten  a er b ei t ex n
arbeitet  a er b ei t ex t
arg  a r k
ärger  e er g er
arm  a er m
arme  a er m ex
armen  a er m ex n
arten  a er t ex n
artikel  a er t ih k ex l
arzt  a er ts t
auch  au xh
auf  au f
aufgaben  au f g a b ex n
aufgebaut  au f g ex b au t
aufgefallen  au f g ex f a l ex n
aufgegeben  au f g ex g eh b ex n
aufgenommen  au f g ex n o m ex n
aufgeregt  au f g ex r eh k t
aufgrund  au f g r u n t
aufhören  au f h oeh r ex n
aufmerksam  au f m e er k z a m
aufnehmen  au f n eh m ex n
aufpassen  au f p a s ex n
aufs  au f s
aufstehen  au f sh t eh n
auftreten  au f t r eh t ex n
auftritt  au f t r i t
aufwand  au f v a n t
augen  au g ex n
august  au g u s t
aus  au s
ausdrücklich  au s d r ue k l i ch
auseinander  au s q ei n a n d er
ausgehen  au s g eh ex n
ausgerechnet  au s g ex r e ch n ex t
ausgeschlossen  au s g ex sh l o s ex n
ausgesetzt  au s g ex z e ts t
ausgesprochen  au s g ex sh p r o xh ex n
ausgesucht  au s g ex z uh xh t
ausprobieren  au s p r oh b ih er n
ausprobiert  au s p r oh b ih er t
ausreichend  au s r ei ch ex n t
aussage  au s z a g ex
aussagen  au s z a g ex n
ausschließlich  au s sh l ih s l i ch
aussehen  au s z eh ex n
außen  au s ex n
außer  au s er
außerdem  au s er d eh m
außerhalb  au s er h a l p
äußerst  eu s er s t
aussieht  au s z ih t
auswahl  au s v a l
automatisch  au t oh m a t i sh
backen  b a k ex n
bahn  b a n
bald  b a l t
band  b a n t
bank  b a ng k
bar  b a er
basteln  b a s t ex l n
bat  b a t
bauen  b au ex n
baut  b au t
beachten  b ex a xh t ex n
beamter  b ex q a m t er
beantworten  b ex a n t v o er t ex n
bedanken  b ex d a ng k ex n
bedarf  b ex d a er f
bedenken  b ex d e ng k ex n
bedeuten  b ex d eu t ex n
bedeutet  b ex d eu t ex t
bedienen  b ex d ih n ex n
bedient  b ex d ih n t
bedürfen  b ex d ue er f ex n
beeindruckt  b ex ei n d r u k t
beenden  b ex q e n d ex n
beendet  b ex q e n d ex t
befinden  b ex f i n d ex n
befindet  b ex f i n d ex t
befreien  b ex f r ei ex n
befreit  b ex f r ei t
begann  b ex g a n
begegnen  b ex g eh g n ex n
begegnet  b ex g eh g n ex t
begeistert  b ex g ei s t er t
beginn  b ex g i n
beginnen  b ex g i n ex n
beginnt  b ex g i n t
begleiten  b ex g l ei t ex n
begleitet  b ex g l ei t ex t
begonnen  b ex g o n ex n
begreifen  b ex g r ei f ex n
begriff  b ex g r i f
begriffen  b ex g r i f ex n
behalten  b ex h a l t ex n
behandelt  b ex h a n d ex l t
behaupten  b ex h au p t ex n
behauptet  b ex h au p t ex t
behörde  b ex h oe er d ex
bei  b ei
beide  b ei d ex
beiden  b ei d ex n
beides  b ei d ex s
beim  b ei m
beinahe  b ei n a ex
beispiel  b ei sh p ih l
beispielsweise  b ei sh p ih l s v ei z ex
beitrag  b ei t r a k
bekam  b ex k a m
bekamen  b ex k a m ex n
bekannt  b ex k a n t
bekannte  b ex k a n t ex
bekannten  b ex k a n t ex n
bekanntlich  b ex k a n t l i ch
bekomme  b ex k o m ex
bekommen  b ex k o m ex n
bekommt  b ex k o m t
belegt  b ex l eh k t
beliebt  b ex l ih p t
bemerkt  b ex m e er k t
bemüht  b ex m ueh t
benötigt  b ex n oeh t i ch t
benutzen  b ex n u ts ex n
benutzt  b ex n u ts t
