a  q aa
a(1)  q ae
a(2)  q ee
a(3)  q ee ih
aachen  q aa x ax n
aar  q aa ex
ab  q aa p
abart  q aa p q aa ex t
abarten  q aa p q aa ex t ax n
abartig  q aa p q aa ex t ih cc
abbau  q aa p b aw
abbauen  q aa p b aw ax n
abbedingung  q aa p b ax d ih ng uh ng
abberufen  q aa p b ax rr uw f ax n
abbild  q aa p b ih l t
abbildung  q aa p b ih l d uh ng
abbildungen  q aa p b ih l d uh ng ax n
abbot  q aa b ooh t
abbots  q aa p b ooh ts
abbruch  q aa p b rr uh x
abbrüche  q aa p b rr yy cc ax
abdrücken  q aa p d rr yy k ax n
abeba  q aa b ee b aa
abend  q aa b ax n t
abendbrot  q aa b ax n t b rr ooh t
abende  q aa b ax n d ax
abenden  q aa b ax n d ax n
abendessen  q aa b ax n t q eh s ax n
abendessens  q aa b ax n t q eh s ax n s
abendflut  q aa b ax n t f l uw t
abendgebet  q aa b ax n t g ax b ee t
abendgesellschaften  q aa b ax n t g ax z eh l sh aa f t ax n
abendlichen  q aa b ax n t l ih cc ax n
abendmahl  q aa b ax n d m aa l
abends  q aa b ax n ts
abendschule  q aa b ax n ch uw l ax
abendstern  q aa b ax n ch t eh ex n
abendsterns  q aa b ax n ch t eh ex n s
abendstunde  q aa b ax n ch t uh n d ax
abendzug  q aa b ax n t ts uw k
abenteuer  q aa b ax n t oy ex
abenteuerliche  q aa b ax n t oy ex l ih cc ax
abenteuerlichen  q aa b ax n t oy ex l ih cc ax n
abenteuern  q aa b ax n t oy ex n
aber  q aa b ex
aberglaube  q aa b ex g l aw b ax
aberglauben  q aa b ex g l aw b ax n
aberglaubens  q aa b ex g l aw b ax n s
abergläubische  q aa b ex g l oy b ih sh ax
abergläubischen  q aa b ex g l oy b ih sh ax n
abergläubischer  q aa b ex g l oy b ih sh ex
abermals  q aa b ex m aa l s
abfahren  q aa pf aa rr ax n
abfahrt  q aa pf aa ex t
abfahrtssiege  q aa pf aa ex ts iy g ax
abfall  q aa pf aa l
abfallen  q aa pf aa l ax n
abfertigen  q aa pf eh ex t ih g ax n
abfindung  q aa pf ih n d uh ng
abfindungen  q aa pf ih n d uh ng ax n
abfolge  q aa pf ao l g ax
abfälle  q aa pf eh l ax
abführten  q aa pf ue ex t ax n
abgabe  q aa p g aa p ax
abgaben  q aa p g aa b ax n
abgearbeitet  q aa p g ax q aa ex b ay t ax t
abgebaut  q aa p g ax b aw t
abgeben  q aa p g ee b ax n
